area_code,industry_code,occupation_code,value
0010420,000000,319096,380.0
0010420,000000,319097,610.0
0010420,000000,319099,0.0
0010420,000000,413011,180.0
0010420,000000,413021,830.0
0010420,000000,413031,830.0
0010420,000000,413041,90.0
0010420,000000,413091,2250.0
0010420,000000,414011,680.0
0010420,000000,414012,4670.0
0010420,000000,419022,330.0
0010420,000000,419031,100.0
0010420,000000,419041,1420.0
0010420,000000,431011,3060.0
0010420,000000,432011,130.0
0010420,000000,433011,430.0
0010420,000000,433021,1480.0
0010420,000000,433031,3360.0
0010420,000000,433051,310.0
0010420,000000,433061,210.0
0010420,000000,433071,970.0
0010420,000000,433099,0.0
0010420,000000,434011,240.0
0010420,000000,434031,740.0
0010420,000000,434051,7170.0
0010420,000000,434061,200.0
0010420,000000,434071,200.0
0010420,000000,434081,410.0
0010420,000000,434111,400.0
0010420,000000,434121,230.0
0010420,000000,434131,280.0
0010420,000000,434151,460.0
0010420,000000,434161,170.0
0010420,000000,434171,1870.0
0010420,000000,434181,0.0
0010420,000000,434199,200.0
0010420,000000,436011,910.0
0010420,000000,436012,230.0
0010420,000000,436014,3600.0
0010420,000000,439021,450.0
0010420,000000,439022,80.0
0010420,000000,439041,990.0
0010420,000000,439051,380.0
0010420,000000,439061,6780.0
0010420,000000,439071,60.0
0010420,000000,439111,40.0
0010420,000000,439199,240.0
0010500,000000,111011,0.0
0010500,000000,111021,1000.0
0010500,000000,111031,50.0
0010500,000000,112022,80.0
0010500,000000,113021,40.0
0010500,000000,113031,140.0
0010500,000000,113051,40.0
0010500,000000,113061,0.0
0010500,000000,113071,50.0
0010500,000000,113121,30.0
0010500,000000,119021,80.0
0010500,000000,119032,130.0
0010500,000000,119051,80.0
0010500,000000,119111,170.0
0010500,000000,119151,140.0
0010500,000000,119198,0.0
0010500,000000,131041,100.0
0010500,000000,131051,50.0
0010500,000000,131071,200.0
0010500,000000,131081,340.0
0010500,000000,131111,150.0
0010500,000000,131151,70.0
0010500,000000,131161,80.0
0010500,000000,131198,570.0
0010500,000000,132011,540.0
0010500,000000,132052,50.0
0010500,000000,132072,80.0
0010500,000000,132082,30.0
0010500,000000,132098,100.0
0010500,000000,151211,40.0
0010500,000000,151232,150.0
0010500,000000,151244,30.0
0010500,000000,151256,150.0
0010500,000000,151299,200.0
0010500,000000,172051,0.0
0010500,000000,172071,50.0
0010500,000000,172112,0.0
0010500,000000,172141,60.0
0010500,000000,172199,60.0
0010500,000000,173023,40.0
0010500,000000,173098,60.0
0010500,000000,195011,40.0
0010500,000000,211012,110.0
0010500,000000,211018,0.0
0010500,000000,211021,260.0
0010500,000000,211022,110.0
0010500,000000,211092,60.0
0010500,000000,211093,150.0
0010500,000000,212011,40.0
0010500,000000,231011,200.0
0010500,000000,232011,70.0
0010500,000000,271026,70.0
0010500,000000,273031,30.0
0010500,000000,291031,30.0
0010500,000000,291041,30.0
0010500,000000,291051,150.0
0010500,000000,291071,60.0
0010500,000000,291131,0.0
0010500,000000,291171,200.0
0010500,000000,291228,280.0
0010500,000000,291292,110.0
0010500,000000,292032,50.0
0010500,000000,292052,230.0
0010500,000000,292056,0.0
0010500,000000,292057,0.0
0010500,000000,292061,360.0
0010500,000000,311131,500.0
0010500,000000,319091,80.0
0010500,000000,319092,500.0
0010500,000000,319096,0.0
0010500,000000,319097,50.0
0010500,000000,319099,170.0
0010500,000000,413021,250.0
0010500,000000,413091,230.0
0010500,000000,414011,0.0
0010500,000000,414012,590.0
0010500,000000,419022,80.0
0010500,000000,431011,670.0
0010500,000000,433011,60.0
0010500,000000,433021,150.0
0010500,000000,433031,530.0
0010500,000000,433051,50.0
0010500,000000,433061,60.0
0010500,000000,433071,210.0
0010500,000000,434031,140.0
0010500,000000,434051,2450.0
0010500,000000,434061,140.0
0010500,000000,434081,0.0
0010500,000000,434171,360.0
0010500,000000,434199,60.0
0010500,000000,436011,80.0
0010500,000000,436012,40.0
0010500,000000,436013,210.0
0010500,000000,436014,920.0
0010500,000000,439061,1300.0
0010500,000000,439199,60.0
0010540,000000,111021,710.0
0010540,000000,112021,40.0
0010540,000000,112022,120.0
0010540,000000,113021,50.0
0010540,000000,113031,110.0
0010540,000000,113051,130.0
0010540,000000,113061,30.0
0010540,000000,113071,90.0
0010540,000000,113121,50.0
0010540,000000,119021,80.0
0010540,000000,119032,130.0
0010540,000000,119051,50.0
0010540,000000,119111,70.0
0010540,000000,119141,40.0
0010540,000000,119151,90.0
0010540,000000,119198,60.0
0010540,000000,131041,30.0
0010540,000000,131051,120.0
0010540,000000,131071,140.0
0010540,000000,131075,40.0
0010540,000000,131081,40.0
0010540,000000,131151,70.0
0010540,000000,131161,60.0
0010540,000000,131198,180.0
0010540,000000,132011,170.0
0010540,000000,132072,110.0
0010540,000000,151211,30.0
0010540,000000,151231,0.0
0010540,000000,151232,90.0
0010540,000000,151244,30.0
0010540,000000,151256,50.0
0010540,000000,172051,50.0
0010540,000000,172072,30.0
0010540,000000,172112,90.0
0010540,000000,172131,0.0
0010540,000000,172141,100.0
0010540,000000,172199,50.0
0010540,000000,173098,60.0
0010540,000000,191032,0.0
0010540,000000,195011,70.0
0010540,000000,211012,70.0
0010540,000000,211015,40.0
0010540,000000,211018,120.0
0010540,000000,211021,120.0
0010540,000000,211093,110.0
0010540,000000,212011,130.0
0010540,000000,212021,40.0
0010540,000000,231011,70.0
0010540,000000,232011,40.0
0010540,000000,273031,30.0
0010540,000000,291051,90.0
0010540,000000,291123,40.0
0010540,000000,291127,40.0
0010540,000000,291141,590.0
0010540,000000,291228,50.0
0010540,000000,291292,110.0
0010540,000000,292034,60.0
0010540,000000,292052,150.0
0010540,000000,292061,90.0
0010540,000000,292098,40.0
0010540,000000,311131,480.0
0010540,000000,319091,110.0
0010540,000000,319092,270.0
0010540,000000,319095,30.0
0010540,000000,319096,90.0
0010540,000000,319099,70.0
